unnamed: 0,date,unique_idfas,unique_ips,unique_uas,total_requests,requests_per_idfa,impressions,impressions_per_idfa,idfa_ip_ratio,idfa_ua_ratio,ivt,requests_per_idfa_calc,impressions_per_idfa_calc,idfa_ip_ratio_calc,idfa_ua_ratio_calc,app_category
,,20130.0,20129.0,18.0,20695.0,1.028067561,0.0,0.0,1.00004968,1118.333333,0.0,1.028067560854446,0.0,1.0000496795667941,1118.3333333333333,No IVT
,,17934.0,17933.0,19.0,18407.0,1.026374484,0.0,0.0,1.000055763,943.8947368,0.015873,1.0263744842199174,0.0,1.0000557631182736,943.8947368421053,Early IVT
,,19416.0,19415.0,21.0,20034.0,1.031829419,0.0,0.0,1.000051507,924.5714286,0.0,1.0318294190358468,0.0,1.0000515065670874,924.5714285714286,No IVT
,,16382.0,16378.0,22.0,16979.0,1.036442437,0.0,0.0,1.00024423,744.6363636,0.010695,1.036442436820901,0.0,1.000244230064721,744.6363636363636,Early IVT
,,21007.0,21003.0,23.0,22285.0,1.060836864,0.0,0.0,1.000190449,913.3478261,0.0,1.0608368639025088,0.0,1.0001904489834785,913.3478260869565,No IVT
,,8261.0,8261.0,21.0,8521.0,1.031473187,0.0,0.0,1.0,393.3809524,0.0,1.0314731872654643,0.0,1.0,393.3809523809524,No IVT
,,10880.0,10880.0,20.0,11422.0,1.049816176,0.0,0.0,1.0,544.0,0.00625,1.0498161764705882,0.0,1.0,544.0,Early IVT
,,9577.0,9575.0,20.0,9970.0,1.041035815,0.0,0.0,1.000208877,478.85,0.0,1.0410358149733736,0.0,1.0002088772845954,478.85,No IVT
,,10620.0,10620.0,18.0,11098.0,1.045009416,0.0,0.0,1.0,590.0,0.00578,1.045009416195857,0.0,1.0,590.0,Early IVT
,,9388.0,9388.0,19.0,9682.0,1.031316574,0.0,0.0,1.0,494.1052632,0.0,1.0313165743502344,0.0,1.0,494.10526315789474,No IVT
,,8672.0,8672.0,19.0,8818.0,1.016835793,0.0,0.0,1.0,456.4210526,0.004695,1.0168357933579335,0.0,1.0,456.42105263157896,Late IVT
,,7507.0,7507.0,18.0,7610.0,1.013720528,0.0,0.0,1.0,417.0555556,0.0,1.0137205275076595,0.0,1.0,417.05555555555554,No IVT
,,7402.0,7402.0,17.0,7470.0,1.009186706,0.0,0.0,1.0,435.4117647,0.007143,1.0091867062955957,0.0,1.0,435.4117647058824,Early IVT
,,6769.0,6769.0,18.0,6822.0,1.007829812,0.0,0.0,1.0,376.0555556,0.006897,1.0078298123799676,0.0,1.0,376.05555555555554,Early IVT
,,7790.0,7790.0,19.0,7860.0,1.008985879,0.0,0.0,1.0,410.0,0.001664,1.0089858793324775,0.0,1.0,410.0,Late IVT
,,11168.0,11168.0,18.0,11294.0,1.011282235,0.0,0.0,1.0,620.4444444,0.004255,1.01128223495702,0.0,1.0,620.4444444444445,Late IVT
,,13286.0,13285.0,19.0,13455.0,1.012720157,0.0,0.0,1.000075273,699.2631579,0.00464,1.012720156555773,0.0,1.0000752728641324,699.2631578947369,Late IVT
,,11802.0,11802.0,17.0,11915.0,1.009574648,0.0,0.0,1.0,694.2352941,0.004264,1.009574648364684,0.0,1.0,694.2352941176471,Late IVT
,,13518.0,13518.0,17.0,13662.0,1.010652463,0.0,0.0,1.0,795.1764706,0.001901,1.0106524633821572,0.0,1.0,795.1764705882352,Late IVT
,,42748.0,42746.0,20.0,44626.0,1.04393188,0.0,0.0,1.000046788,2137.4,0.0,1.0439318798540282,0.0,1.000046788003556,2137.4,No IVT
,,40618.0,40616.0,20.0,42359.0,1.04286277,0.0,0.0,1.000049242,2030.9,0.005935,1.0428627702004039,0.0,1.0000492416781563,2030.9,Early IVT
,,37731.0,37728.0,19.0,39050.0,1.034957992,0.0,0.0,1.000079517,1985.842105,0.0,1.0349579921019851,0.0,1.0000795165394403,1985.842105263158,No IVT
